"No.","Time","Source","Destination","Protocol","Length","Info"
"3391","17.979550","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x17d3 No such name A pDt02i0L.reddshrimpandherring.com SOA a.gtld-servers.net"
"3402","18.044280","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x3728 No such name A JnZqfeEB.reddshrimpandherring.com SOA a.gtld-servers.net"
"3411","18.146153","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x8ef5 No such name A LC5AR00m.reddshrimpandherring.com SOA a.gtld-servers.net"
"3424","18.216409","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xa0ce No such name A 5ga9YWjo.reddshrimpandherring.com SOA a.gtld-servers.net"
"3433","18.288746","18.217.1.57","192.168.38.104","DNS","166","Standard query response 0x16f6 No such name A YWRiZWVm.reddshrimpandherring.com SOA a.gtld-servers.net"
"3448","18.434762","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x0c77 No such name A T1Fqpwju.reddshrimpandherring.com SOA a.gtld-servers.net"
"3455","18.469390","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xa945 No such name A qpvqibHM.reddshrimpandherring.com SOA a.gtld-servers.net"
"3468","18.514701","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x1d17 No such name A jm+OqSx7.reddshrimpandherring.com SOA a.gtld-servers.net"
"3477","18.580639","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x8a91 No such name A V0XjJNSR.reddshrimpandherring.com SOA a.gtld-servers.net"
"3486","18.614343","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x68cf No such name A hRnW+JSQ.reddshrimpandherring.com SOA a.gtld-servers.net"
"3496","18.655585","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xc43b No such name A 5gvgR+3U.reddshrimpandherring.com SOA a.gtld-servers.net"
"3539","18.761905","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xf2ca No such name A vdGM6BgJ.reddshrimpandherring.com SOA a.gtld-servers.net"
"3564","18.863243","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xce83 No such name A 8SHMsy3c.reddshrimpandherring.com SOA a.gtld-servers.net"
"3572","18.901027","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xdedc No such name A LKMt6CLM.reddshrimpandherring.com SOA a.gtld-servers.net"
"3585","18.935355","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xec07 No such name A EYysecBH.reddshrimpandherring.com SOA a.gtld-servers.net"
"3591","18.972454","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xbff0 No such name A tpesAYtj.reddshrimpandherring.com SOA a.gtld-servers.net"
"3598","19.016608","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xa10b No such name A Q1L7fBbd.reddshrimpandherring.com SOA a.gtld-servers.net"
"3606","19.066713","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x9b71 No such name A ODQ0m9DK.reddshrimpandherring.com SOA a.gtld-servers.net"
"3619","19.105037","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xd87d No such name A iX+Zn2Gq.reddshrimpandherring.com SOA a.gtld-servers.net"
"3626","19.180893","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb8ec No such name A JUKUkUYn.reddshrimpandherring.com SOA a.gtld-servers.net"
"3634","19.216170","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x750f No such name A eWUnpoWH.reddshrimpandherring.com SOA a.gtld-servers.net"
"3647","19.306800","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x9138 No such name A Zf688UTz.reddshrimpandherring.com SOA a.gtld-servers.net"
"3654","19.341342","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xad23 No such name A uFH0VpwO.reddshrimpandherring.com SOA a.gtld-servers.net"
"3669","19.407651","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x2aa6 No such name A bJS/rrk1.reddshrimpandherring.com SOA a.gtld-servers.net"
"3738","19.500428","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xa25a No such name A YQuKySPc.reddshrimpandherring.com SOA a.gtld-servers.net"
"3795","19.546564","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xdda1 No such name A Vo/M+HTl.reddshrimpandherring.com SOA a.gtld-servers.net"
"3811","19.582210","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb1b5 No such name A 7BBZdhts.reddshrimpandherring.com SOA a.gtld-servers.net"
"3836","19.677930","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x166c No such name A iN4OTru2.reddshrimpandherring.com SOA a.gtld-servers.net"
"3844","19.712708","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xe6be No such name A GoUf559H.reddshrimpandherring.com SOA a.gtld-servers.net"
"3857","19.749356","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb1c3 No such name A zEBnIu8y.reddshrimpandherring.com SOA a.gtld-servers.net"
"3863","19.784317","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x39df No such name A 5ShcZekS.reddshrimpandherring.com SOA a.gtld-servers.net"
"3870","19.830926","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x8a63 No such name A M6XVMW0N.reddshrimpandherring.com SOA a.gtld-servers.net"
"3878","19.875715","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x8c99 No such name A DqAPj5pX.reddshrimpandherring.com SOA a.gtld-servers.net"
"3891","19.920544","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x911f No such name A 6iKi0zDD.reddshrimpandherring.com SOA a.gtld-servers.net"
"3898","19.990806","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xeff8 No such name A x5KkdeHb.reddshrimpandherring.com SOA a.gtld-servers.net"
"3913","20.057784","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xfea1 No such name A 9z6F1Kjc.reddshrimpandherring.com SOA a.gtld-servers.net"
"3931","20.125912","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x30c2 No such name A NoqVsSW2.reddshrimpandherring.com SOA a.gtld-servers.net"
"3942","20.168778","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xa0b6 No such name A NLjPcplu.reddshrimpandherring.com SOA a.gtld-servers.net"
"3956","20.206379","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x9b27 No such name A v/Wnu7vs.reddshrimpandherring.com SOA a.gtld-servers.net"
"3963","20.243205","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb5a6 No such name A QZ7XVpoz.reddshrimpandherring.com SOA a.gtld-servers.net"
"3972","20.316608","18.217.1.57","192.168.38.104","DNS","162","Standard query response 0xbe68 No such name A fQ==.reddshrimpandherring.com SOA a.gtld-servers.net"
"3986","20.432334","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x2935 No such name A vT6zzM2J.reddshrimpandherring.com SOA a.gtld-servers.net"
"3992","20.466236","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb935 No such name A yXzo0cCL.reddshrimpandherring.com SOA a.gtld-servers.net"
"4000","20.500213","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x3b06 No such name A a+xLgs3W.reddshrimpandherring.com SOA a.gtld-servers.net"
"4013","20.533316","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xe294 No such name A Yju2a1Nt.reddshrimpandherring.com SOA a.gtld-servers.net"
"4020","20.634526","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xd418 No such name A wLVUgWou.reddshrimpandherring.com SOA a.gtld-servers.net"
"4028","20.679154","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x6945 No such name A lvqrjuAa.reddshrimpandherring.com SOA a.gtld-servers.net"
"4041","20.713073","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x33c9 No such name A j5t1Lfdo.reddshrimpandherring.com SOA a.gtld-servers.net"
"4048","20.792013","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x2dba No such name A s1VHzRn6.reddshrimpandherring.com SOA a.gtld-servers.net"
"4056","20.826263","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x78d7 No such name A jM9GaAzF.reddshrimpandherring.com SOA a.gtld-servers.net"
"4069","20.896012","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x5c48 No such name A ecb6fGRc.reddshrimpandherring.com SOA a.gtld-servers.net"
"4078","20.966543","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xe2ca No such name A N+6v2HTZ.reddshrimpandherring.com SOA a.gtld-servers.net"
"4084","21.003001","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x5b58 No such name A +sorXMfa.reddshrimpandherring.com SOA a.gtld-servers.net"
"4097","21.042826","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xa10f No such name A 5FALrYGV.reddshrimpandherring.com SOA a.gtld-servers.net"
"4106","21.137843","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xaf59 No such name A eu71Cs0V.reddshrimpandherring.com SOA a.gtld-servers.net"
"4119","21.171643","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x28c7 No such name A dxr+G/kl.reddshrimpandherring.com SOA a.gtld-servers.net"
"4126","21.237469","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xef10 No such name A 0gHMI0EI.reddshrimpandherring.com SOA a.gtld-servers.net"
"4134","21.301785","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x40d4 No such name A 4n+wg52s.reddshrimpandherring.com SOA a.gtld-servers.net"
"4148","21.393798","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x8c15 No such name A 9bgMWa5Z.reddshrimpandherring.com SOA a.gtld-servers.net"
"4154","21.431696","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x551d No such name A bh2L8TFp.reddshrimpandherring.com SOA a.gtld-servers.net"
"4168","21.508338","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x4fc4 No such name A 6YyOean+.reddshrimpandherring.com SOA a.gtld-servers.net"
"4175","21.546062","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x2203 No such name A Ften8lLo.reddshrimpandherring.com SOA a.gtld-servers.net"
"4182","21.590010","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x4f9c No such name A 2CscKL+3.reddshrimpandherring.com SOA a.gtld-servers.net"
"4190","21.633731","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x0f08 No such name A L/5yYuuf.reddshrimpandherring.com SOA a.gtld-servers.net"
"4196","21.667742","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x0472 No such name A H5RvSugA.reddshrimpandherring.com SOA a.gtld-servers.net"
"4209","21.711531","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x9fab No such name A YdfbP1UZ.reddshrimpandherring.com SOA a.gtld-servers.net"
"4216","21.751329","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xe3bf No such name A I4U/5r2f.reddshrimpandherring.com SOA a.gtld-servers.net"
"4222","21.792169","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x7536 No such name A 1X/s/2vy.reddshrimpandherring.com SOA a.gtld-servers.net"
"4230","21.837197","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x03ec No such name A O+PFxqfF.reddshrimpandherring.com SOA a.gtld-servers.net"
"4243","21.873217","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x2a34 No such name A Ju4eCL8V.reddshrimpandherring.com SOA a.gtld-servers.net"
"4250","21.940445","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xeaeb No such name A JBfOkBIE.reddshrimpandherring.com SOA a.gtld-servers.net"
"4258","22.008732","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x9b8c No such name A 0bLbK94Z.reddshrimpandherring.com SOA a.gtld-servers.net"
"4271","22.045435","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x0815 No such name A tEWQ8ZAi.reddshrimpandherring.com SOA a.gtld-servers.net"
"4278","22.086008","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xbe9c No such name A JBQmApX7.reddshrimpandherring.com SOA a.gtld-servers.net"
"4284","22.130669","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x37d0 No such name A GQ3caS/1.reddshrimpandherring.com SOA a.gtld-servers.net"
"4299","22.201187","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xc6da No such name A Yz2l3aBW.reddshrimpandherring.com SOA a.gtld-servers.net"
"4306","22.271432","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xe15b No such name A xA3F0VZ8.reddshrimpandherring.com SOA a.gtld-servers.net"
"4314","22.339802","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xea1f No such name A l7hTDJh3.reddshrimpandherring.com SOA a.gtld-servers.net"
"4327","22.405430","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x906e No such name A BN9PyNZN.reddshrimpandherring.com SOA a.gtld-servers.net"
"4356","22.450908","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xace9 No such name A M9QZU6eP.reddshrimpandherring.com SOA a.gtld-servers.net"
"4364","22.532034","18.217.1.57","192.168.38.104","DNS","162","Standard query response 0xa740 No such name A fQ==.reddshrimpandherring.com SOA a.gtld-servers.net"
